bound_id,operator_family,operator_class,route_class,partition_signature,partition_owners,owner_count,closure_depth,q_sign,q_abs,q_value,native_charge_axis,spin_or_hand_class,color_or_owner_closure,closure_status,stability_status,native_mass_or_weight,native_mass_fraction,formula_used,selector_rule,route_combination,address_signature,construction_hash
SAMB63-0001,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,1+1+1,1|1|1,3,0,positive,1,1,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,108,108,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[1+1+1],three_owner_color_closure|p=1+1+1|d=0|q=positive:1,610e15f4282ed0bf7a5d12ce38113e90fd2075a76358297629b5486fd2e86e21
SAMB63-0002,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,1+1+4,1|1|4,3,0,positive,1,1,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,648,648,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[1+1+4],three_owner_color_closure|p=1+1+4|d=0|q=positive:1,a3af73bd5614cdcee56555f717587772f94dc3b9216eaa979b8bf51ba0f59f01
SAMB63-0003,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,1+2+3,1|2|3,3,0,negative,1,-1,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,504,504,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[1+2+3],three_owner_color_closure|p=1+2+3|d=0|q=negative:1,ac07994d984d6bab18947d229feab6f8a732e86cd3c94e302da53510f26afbec
SAMB63-0004,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,1+2+6,1|2|6,3,0,negative,1,-1,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,1476,1476,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[1+2+6],three_owner_color_closure|p=1+2+6|d=0|q=negative:1,e82ccdf1d76feb51fdf230f84b065c6055cfcbe1473b639f3720a664626b28a8
SAMB63-0005,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,1+4+4,1|4|4,3,0,negative,2,-2,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,1188,1188,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[1+4+4],three_owner_color_closure|p=1+4+4|d=0|q=negative:2,341f674c16ead5a10cb71391575205cffaeb4c30f942ce3339991e86e4b60e07
SAMB63-0006,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,1+6+8,1|6|8,3,0,negative,3,-3,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,3636,3636,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[1+6+8],three_owner_color_closure|p=1+6+8|d=0|q=negative:3,2f5666ebc0737ef1f45f3e903148d619098f7c0bd6865d94dec44e9541ea63a0
SAMB63-0007,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,2+2+2,2|2|2,3,0,positive,2,2,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,432,432,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[2+2+2],three_owner_color_closure|p=2+2+2|d=0|q=positive:2,c3e34305f9a52b565b342919f2c2916f0d619632aeedd91bef66e0f520904522
SAMB63-0008,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,2+2+8,2|2|8,3,0,positive,2,2,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,2592,2592,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[2+2+8],three_owner_color_closure|p=2+2+8|d=0|q=positive:2,cb0c9da19deab0914127e7a4eb0a4da366865b810f1c01e491caedad27a66467
SAMB63-0009,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,2+4+6,2|4|6,3,0,negative,2,-2,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,2016,2016,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[2+4+6],three_owner_color_closure|p=2+4+6|d=0|q=negative:2,da2f521d4aa1d7a7d717fe3e562ad8c7954665d5961ed884c42bf83693ab0807
SAMB63-0010,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,2+8+8,2|8|8,3,0,negative,4,-4,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,4752,4752,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[2+8+8],three_owner_color_closure|p=2+8+8|d=0|q=negative:4,f7236254b7ae05b41c2e11355f5f860a1a6bf8c2824fa7d6c1ff73d991216dd4
